POPDB_ID,Status,POP Name,Address,Last Visit,Longitude,Latitude,POP Code,Contacts,Country,Channel,Retail Environment (PS),Sales Group Name,Customer,Sales Group Code,Customer Grade,External Store Code,Comments,Territory/Region
28478EF3E479394DB72FF735C094D4AB,1,서부실로암약국(JDT) 65964,대전시,2022-07-13,0,0,PHAR1052,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,65964,상업적,
919FB00DDE5A4F52F028388CA26B5CD9,1,경동메디칼약국(JDT) 65965,경상북도,2021-09-17,0,0,PHAR1053,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,65965,복합적,
812770A72AA9CB1AA73BCF4EE3194C11,1,맑디맑은약국(JDT) 65968,대전시,2022-07-22,0,0,PHAR1054,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,65968,복합적,
50095D7B2EBF7F699DB91609B37EE26A,1,팜프라자약국(JDT)-청주 65969,충청북도,2022-07-21,0,0,PHAR1055,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,65969,복합적,
C3663A3F4A9B0800BC700153613D8C7E,1,새싹약국(JDT) 65971,경기도,2022-07-26,0,0,PHAR1056,,Korea,OTC,Pharmacy,OTC약국,소아과,K56,2,65971,복합적,
7C05525D56B416B34EE38382C7C8405D,1,관악소망약국(JDT) 65973,서울시,2021-10-06,0,0,PHAR1057,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,65973,상업적,
607631E1A33B4EA263D17C4D19792DB1,1,마더스약국(JDT)-대구 65975,대구시,2022-07-25,0,0,PHAR1058,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,65975,복합적,
55431CFE38EC943DC73B51BBBF27E262,1,월드타워약국(JDT) 65979,서울시,2022-05-03,0,0,PHAR1059,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,65979,상업적,
13632776694B71A6304525DBE601A0D4,1,도매당약국(JDT) 65983,부산시,2022-07-26,0,0,PHAR1060,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,65983,복합적,
C59485D66E072A54C082582E1C7CB175,1,미라클약국(JDT)-양천 65985,서울시,2022-02-24,0,0,PHAR1061,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,65985,상업적,
